contract_id,summary,termination_clause,confidentiality_clause,liability_clause,source_path
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,"Title: Co-Branding Agreement between 2TheMart Com Inc and i-Escrow Inc

This Co-Branding Agreement, effective from August 26, 1999, outlines the terms between 2TheMart Com Inc and i-Escrow Inc for a one-year period, renewable, regarding their co-branded services. Key obligations include 2TheMart providing materials and services ""as is,"" disclaiming all warranties, and i-Escrow acting in good faith and indemnifying 2TheMart against any claims arising from its acts or misrepresentations. Termination can occur for various reasons, with surviving provisions ensuring completion of pending customer transactions. Notable risks include potential liabilities for breaches and penalties for non-compliance with the agreement's terms.","Termination: Upon any reason, all rights granted under the Agreement terminate, i-Escrow pays all owed amounts to 2TheMart within six weeks, and both parties remove each other's content and marks from their servers. Unless terminated for material breach, all provisions of the Agreement survive to complete pending Customer transactions.","Parties must keep each other's confidential or proprietary information confidential, whether it is disclosed in writing or orally.","Each party disclaims all warranties, express, implied or statutory, including title, non-infringement, merchantability, and fitness for a particular purpose.",dataset\2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,"This Development Agreement between Aimmune Therapeutics Inc. and Xencor outlines the terms for the development, manufacturing, and commercialization of certain therapeutic products. Key obligations include Aimmune granting Xencor exclusive rights to develop and manufacture the products, while Xencor agrees to provide Aimmune with development and manufacturing services. Aimmune has the right to terminate the agreement with a 60-day written notice. Both parties must keep confidential all disclosed confidential information and use it only for the purpose of performing under the agreement. Neither party will be liable for lost profits or indirect damages, but Xencor agrees to indemnify Aimmune for any losses arising from breaches of the agreement. Failure to comply with obligations or confidentiality breaches may result in penalties.",Aimmune has the right to terminate this Agreement at any time with a 60-day written notice.,The receiving party must keep confidential all disclosed confidential information and use it only for the purpose of performing under the agreement. Disclosures are limited to need-to-know employees bound by similar confidentiality obligations.,"Neither party will be liable to the other for any lost profits, special, consequential, incidental, or indirect damages arising from or relating to any breach of this agreement, regardless of any notice of the possibility of such damages. This does not limit or restrict the indemnification rights or obligations of any party under sections 11.1 or 11.2, or damages available for a party’s breach of confidentiality obligations under Article 12.",dataset\AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,"The Development Agreement outlines the terms between the Fund and the Blockchain Administrator for the creation, maintenance, and administration of the Fund's digital securities. The Blockchain Administrator is responsible for providing necessary services, including development, administration, and relations with third parties. The Fund employs the Blockchain Administrator as an independent contractor, and the Administrator is liable for costs and expenses. Key obligations for the Blockchain Administrator include performing development and administrative services, maintaining confidentiality of provided information, and entering into agreements with other service providers. Notable risks for the Blockchain Administrator include potential termination by the Fund's Board, liability for damages, liabilities, costs, and expenses arising from the performance of its duties, and the need to indemnify the Indemnified Parties. The Fund is obligated to provide the Blockchain Administrator with all necessary information and to review and control the Administrator's actions. The Agreement may be amended by mutual consent of","This Agreement can be terminated annually by the vote of the Board. Upon termination, the Blockchain Administrator shall be entitled to any amounts owed under Section 4 through the date of termination. Section 5 shall continue to apply to the Blockchain Administrator and its representatives.","Confidentiality: The confidential information provided by a party shall be used solely for the purpose of rendering services pursuant to this Agreement. It shall not be disclosed to any third party without the prior consent of the providing party, except in cases where the information is publicly available or required to be disclosed by regulatory authorities or legal counsel.","The Indemnified Parties are indemnified against all damages, liabilities, costs, and expenses (including attorneys' fees and settlement costs) arising from actions, suits, investigations, or other proceedings related to the performance of the Blockchain Administrator's duties or obligations under this Agreement or as administrator of the Fund.",dataset\ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,"Development Agreement between Client and Developer for the design of an Application. The Developer agrees to create the Application System as per Client's specifications, devote necessary time, and perform Services in a workmanlike manner. The Client is responsible for payment as outlined in Exhibit A. Key obligations include the Developer's control over the means and method of Service delivery, and the Developer's representation of having the right to perform the Services and the ability to do so lawfully. Notable risks/penalties include termination for breach, Developer's liability for taxes, and penalties if found not to be an independent contractor. Confidentiality obligations apply to both parties, and the Developer must deliver all assets used during the project upon completion. Amendments require written consent from both parties, and the Client may assign the Agreement freely, while the Developer may only transfer payment rights with Client's written consent.","This Agreement can be terminated by either party under three conditions: 1. With a 7-day written notice in case of a Force Majeure Event, 2. Unilaterally by the Client within a 7-day notice period, with the Developer only able to cancel due to lack of payment and the Client having a 30-day right to cure before cancellation, and 3. For a material breach.",The Receiving Party must keep Confidential Information confidential and use it only to perform the Agreement; disclosures limited to need-to-know employees bound by similar confidentiality obligations.,"The Developer assumes full responsibility and liability for all taxes, assessments, and penalties imposed against the Developer and/or the Client if the Developer is found not to be an independent contractor and/or not in compliance with applicable laws related to independent contractor work.",dataset\ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement,"Title: Development Agreement between CNS Pharmaceuticals Inc. and WPD Purpose: This agreement outlines the terms for the research and development of certain products (Development Products) between CNS Pharmaceuticals Inc. (CNS) and WPD. Key Obligations: - WPD must provide regular progress reports and share data, information, and know-how related to the Development Products with CNS. - CNS may terminate the agreement under specific conditions or by mutual agreement. - Both parties must maintain confidentiality of shared information, with limited disclosure to necessary employees and third parties. - WPD is responsible for potential liabilities arising from negligence, breach of warranties, intellectual property infringement, and unlawful payments to foreign officials. Notable Risks/Penalties: - Breach of the agreement may lead to termination. - Each party's total liability for claims related to this agreement will not exceed the fees paid in the previous 12 months. - Failure to comply with the confidentiality obligations may result","This Agreement can be terminated in the following ways: 
1. By either party giving a 30-day written notice if the other party materially breaches the agreement and fails to cure the breach within the 30-day notice period.
2. By mutual written agreement between the parties, with terms that survive termination.",The receiving party must keep confidential all disclosed confidential information and use it only for the purpose of performing under the agreement. Disclosures are limited to need-to-know employees bound by similar confidentiality obligations.,"Neither party will be responsible for indirect, special, incidental, or consequential damages, including loss of profits. The total liability for each party for claims related to this agreement will not exceed the fees paid in the previous 12 months.",dataset\CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.pdf
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement,"This Development Agreement between Coherus Biosciences and an undisclosed party outlines the terms for the development of a specific product. The key obligations include the Receiving Party maintaining the confidentiality of the Disclosing Party's information, using it only for the purposes stated in the agreement, and implementing appropriate safeguards to prevent unauthorized disclosure. The Receiving Party can disclose the information to certain employees and third parties with a need to know. Termination of the agreement results in immediate payment of accrued obligations. Breach of the confidentiality clause may lead to liability, but neither party will be liable for special, non-compensatory, consequential, indirect, incidental, statutory or punitive damages. The agreement also includes provisions for the distribution of recoveries in the event of an enforcement action.","Upon termination, all accrued payment obligations become immediately due and payable.",The Receiving Party must keep the Disclosing Party’s Confidential Information confidential and use it only for the purposes stated in this Agreement. The Receiving Party must not disclose the Confidential Information to any third party without the Disclosing Party’s written authorization.,"Neither party will be liable to the other for any special, non-compensatory, consequential, indirect, incidental, statutory or punitive damages, including lost profits and lost revenue, except for a breach of the confidentiality clause.",dataset\CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,"This Development Agreement, dated November 1, 2019, between two parties, outlines the terms for a research and development collaboration. The primary purpose is to jointly develop, test, and commercialize certain orthopedic products.

Key obligations include each party contributing its resources, expertise, and intellectual property to the project, maintaining confidentiality of shared information, and sharing joint liability for damages, liabilities, costs, and expenses in proportion to their relative responsibilities and determined liability in the event of a single claim.

Notable risks and penalties include termination of the agreement if either party dissolves, seeks dissolution, or becomes insolvent, and potential legal action for breach of confidentiality or other contractual obligations. Additionally, any assignment of the agreement or related assets requires prior approval from both parties and must be accompanied by a simultaneous assignment of the other agreements and the assigning party's interest in the purchased assets.","Either Party may terminate this Agreement immediately if the other Party is dissolved, seeking dissolution, or becomes insolvent.","Employees, consultants, and Agents with access to Confidential Information are contractually obligated to maintain its confidentiality.","Joint Liability: Parties will share damages, liabilities, costs, and expenses in proportion to their relative responsibilities and determined liability in the event of a single Claim.",dataset\ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,"This Affiliate Agreement, dated August 10, 2007, between CreditcardscomInc and an affiliate (Affiliate), outlines the terms for promoting Chase's products. Key obligations for both parties include adhering to the terms of the agreement, maintaining confidentiality of certain information, and making necessary disclosures. The agreement also specifies that neither party will be held liable for indirect, special, incidental, or consequential damages, with total liability not exceeding the fees paid in the past 12 months. Breach of terms may lead to termination with a 30-day written notice. Notably, Chase reserves the right to modify the agreement without notice, and continued participation following such modifications signifies binding acceptance.",This Agreement can be terminated by either party with a 30-day written notice if the other party breaches any terms and fails to correct the breach within 30 days.,"Confidentiality: Information will not be considered confidential if it was known prior to disclosure, is publicly known, obtained from a third party without breaching confidentiality, or independently developed.","Neither party will be liable for indirect, special, incidental, or consequential damages, including loss of profits. The total liability of each party for claims arising from this agreement will not exceed the fees paid in the past 12 months.",dataset\CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,"This Affiliate Agreement, effective from its execution by MA and acceptance by the Company, grants MA the rights to market, sell, and support the Technology listed in Schedule A for internal language learning and communication purposes. Key obligations for MA include maintaining confidentiality, not using Confidential Information without prior written authorization, performing services for clients, and not disclosing Confidential Information to third parties. The Company, in turn, must supply MA with access to major published modifications or upgrades to the Technology. Termination can occur with a 30-day written notice at the end of the term or any renewal term, but the Agreement cannot be terminated due to MA's failure to follow an operating plan, standard procedure, training manual, or substantial equivalent published in Paragraph 3 (k) of this Agreement, except for MA's failure to follow required procedures related to the processing of sales. Notable risks and penalties include potential liability","This Agreement can be terminated by either party with a 30-day written notice at the end of its term or any renewal term. The Agreement cannot be terminated due to MA's failure to follow an operating plan, standard procedure, training manual, or substantial equivalent published in Paragraph 3 (k) of this Agreement, except that the Company can terminate the Agreement for MA's failure to follow required procedures related to the processing of sales.","The Receiving Party must keep the Technology, personally identifiable data or information regarding any end user, and any other Confidential Information confidential.","Company shall not be liable for tort or contract damages, or indirect, special, general, incidental or consequential damages, including loss of profits, anticipated profits, and loss of goodwill.",dataset\CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement,"This Co-Branding and Service Agreement, dated November 2, 1999 (DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19), outlines the terms for a partnership between DeltaThree and PrimeCall to co-brand a prepaid IP telephony calling card. Key obligations include PrimeCall selling and advertising the Calling Card online, and DeltaThree providing services for PrimeCall's on-line business. Each party is required to keep the other's proprietary information confidential, and breach of this agreement may result in termination of the agreement and entitlement to injunctive relief. The agreement also includes a liability cap on damages.","This clause outlines the effects of termination of the agreement. Upon termination, all rights and obligations of PrimeCall and DeltaThree will terminate, except for certain exceptions. The termination does not waive any rights due to a breach of the agreement, the right to receive payments, and the provisions of Article VII [Limited Warranty] will continue.","The parties must keep confidential proprietary information concerning each other's business and affairs. They are not allowed to use this information for their own benefit or for the benefit of any third party, except as required by law. However, this confidentiality obligation does not apply to information that becomes publicly available or is obtained from a source other than the parties themselves.","No indirect, special, incidental, or consequential damages; aggregate liability capped at fees paid in the previous 12 months.",dataset\DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf
